经销商报价,纯电续航里程(km),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),磷酸铁锂,三元锂,其它,电池容量(kWh)
19.16,602,0.75,10,80,160,6.8,13.1,4810,1880,1515,2750,1600,1602,4,5,1750,165,224,350,0,1,0,69.9
18.98,602,0.75,10,80,160,6.8,13.1,4810,1880,1515,2750,1600,1602,4,5,1770,165,224,350,0,1,0,69.9
13.98,460,0.78,10,80,130,7.028394004,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,0,1,0,58.8
13.98,460,0.78,10,80,130,7.028394004,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,0,1,0,58.8
17.28,460,0.78,10,80,130,7.028394004,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,0,1,0,58.8
14.68,460,0.78,10,80,130,7.028394004,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,0,1,0,58.8
14.68,460,0.78,10,80,130,7.028394004,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,0,1,0,58.8
17.98,460,0.78,10,80,130,7.028394004,12.9,4768,1880,1530,2750,1600,1602,4,5,1610,100,136,225,0,1,0,58.8
18.98,555,0.5,9.584863481,79.92343032,170,7.028394004,13.2,4871,1862,1500,2870,1583,1603,4,5,1930,150,204,340,1,0,0,63.87
20.38,555,0.5,9.584863481,79.92343032,170,7.028394004,13.2,4871,1862,1500,2870,1583,1603,4,5,1930,150,204,340,1,0,0,63.87
23.98,705,0.5,9.584863481,79.92343032,170,7.028394004,13.4,4871,1862,1500,2870,1583,1603,4,5,1930,150,204,340,0,1,0,83.49
26.98,600,0.5,9.584863481,79.92343032,180,4.3,15.5,4871,1862,1500,2870,1577,1597,4,5,2115,300,408,680,0,1,0,83.49
23.99,480,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,1,0,0,60.2
23.99,480,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,1,0,0,60.2
25.29,480,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,1,0,0,60.2
25.99,586,0.42,5.7,80,170,6.7,17,4880,1896,1450,2998,1615,1621,4,5,1890,196,267,390,0,1,0,70.8
25.99,480,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,1,0,0,60.2
26.29,480,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,1,0,0,60.2
27.29,670,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,0,1,0,83.1
28.09,586,0.42,5.7,80,170,6.7,17,4880,1896,1450,2998,1615,1621,4,5,1890,196,267,390,0,1,0,70.8
28.59,625,0.55,6.5,80,170,6.7,13.3,4880,1896,1450,2998,1615,1621,4,5,1940,196,267,390,0,1,0,77.9
28.59,670,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,0,1,0,83.1
31.79,670,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,0,1,0,83.1
32.99,670,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,0,1,0,83.1
34.99,562,0.6,6.5,80,170,4.3,16,4880,1896,1450,2998,1615,1621,4,5,2060,316,430,655,0,1,0,80.9
34.99,562,0.6,6.5,80,170,4.3,16,4880,1896,1450,2998,1615,1621,4,5,2060,316,430,655,0,1,0,80.9
38.79,670,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,0,1,0,83.1
24.99,480,0.45,5,80,170,6.7,13.8,4880,1896,1450,2998,1615,1621,4,5,1920,196,267,390,1,0,0,60.2
38.69,670,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,0,1,0,83.1
42.99,562,0.6,6.5,80,170,4.3,16,4880,1896,1450,2998,1615,1621,4,5,2060,316,430,655,0,1,0,80.9
27.09,586,0.42,5.7,80,170,6.7,17,4880,1896,1450,2998,1615,1621,4,5,1890,196,267,390,0,1,0,70.8
27.09,706,0.55,6.5,80,170,6.7,12.5,4880,1896,1450,2998,1615,1621,4,5,1910,196,267,390,0,1,0,80.9
28.29,670,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,0,1,0,83.1
31.49,670,0.55,6.5,80,170,6.7,13.5,4880,1896,1450,2998,1615,1621,4,5,1935,196,267,390,0,1,0,83.1
28.86,620,0.5,10.5,80,200,7.1,15.8,4785,1930,1620,2880,1655,1650,5,5,2235,200,272,360,1,0,0,80
31.98,552,0.5,10.5,80,210,4.5,17.1,4785,1930,1620,2880,1655,1650,5,5,2350,365,496,675,1,0,0,80
49.9,702,0.47,9.584863481,79.92343032,190,4.5,18.3,5209,2024,1848,3205,1701,1713,5,6,2830,400,544,686,0,1,0,116
58.8,822,0.609070465,9.584863481,79.92343032,190,4.5,14.73990223,5209,2024,1848,3205,1701,1713,5,6,1897.268636,400,544,686,0,1,0,140
24.58,715,0.58,16,80,185,6.9,13.5,4980,1980,1450,2980,1696,1695,4,5,1990,170,231,310,0,1,0,88
26.98,715,0.58,16,80,185,6.9,13.5,4980,1980,1450,2980,1696,1695,4,5,1990,170,231,310,0,1,0,88
27.98,650,0.58,17,80,185,3.9,16,4980,1980,1450,2980,1696,1695,4,5,2130,340,462,620,0,1,0,95
31.98,715,0.58,16,80,185,6.9,13.5,4980,1980,1450,2980,1696,1695,4,5,2000,170,231,310,0,1,0,88
33.88,650,0.58,17,80,185,3.9,16,4980,1980,1450,2980,1696,1695,4,5,2130,340,462,620,0,1,0,95
88.99,652,1,10,79.92343032,250,3.2,14.73990223,4970,1964,1445,2960,1662,1700,5,5,2069,493,670,375.5829904,0,1,0,100
105.99,637,1,10,79.92343032,322,2.1,14.73990223,4970,1964,1445,2960,1662,1700,5,5,2162,750,1020,375.5829904,0,1,0,100
12.59,401,0.5,8,80,150,7.028394004,13,4235,1825,1596,2650,1557,1577,5,5,1510,105,143,210,1,0,0,47.8
13.7,401,0.5,8,80,150,7.028394004,13,4235,1825,1596,2650,1557,1577,5,5,1510,105,143,210,1,0,0,47.8
13.7,401,0.5,8,80,150,7.028394004,13.1,4235,1825,1596,2650,1557,1577,5,5,1438,105,143,210,0,1,0,45.99
14.7,401,0.5,8,80,150,7.028394004,13,4235,1825,1596,2650,1557,1577,5,5,1510,105,143,210,1,0,0,47.8
14.7,401,0.5,8,80,150,7.028394004,13.1,4235,1825,1596,2650,1557,1577,5,5,1438,105,143,210,0,1,0,45.99
15.7,501,0.5,8,80,150,7.028394004,13.2,4235,1825,1596,2650,1557,1577,5,5,1510,105,143,210,0,1,0,59.1
15.7,501,0.5,8,80,150,7.028394004,13.9,4235,1825,1596,2650,1557,1577,5,5,1609,105,143,210,1,0,0,57.71
16.7,501,0.5,8,80,150,7.028394004,13.2,4235,1825,1596,2650,1557,1577,5,5,1510,105,143,210,0,1,0,59.1
16.7,501,0.5,8,80,150,7.028394004,13.9,4235,1825,1596,2650,1557,1577,5,5,1609,105,143,210,1,0,0,57.71
27.89,526,0.58,6.75,80,180,6.2,14.3,4872,1846,1481,2966,1593.613095,1594.388393,4,5,2029,210,286,400,0,1,0,70
13.88,400,0.5,6.79,80,130,7.028394004,12,4765,1837,1515,2718,1580,1580,4,5,1580,100,136,180,1,0,0,47.5
14.88,500,0.5,8.14,80,130,7.028394004,12.3,4765,1837,1515,2718,1580,1580,4,5,1650,100,136,180,1,0,0,57
15.88,500,0.5,8.14,80,130,7.028394004,12.3,4765,1837,1515,2718,1580,1580,4,5,1650,100,136,180,1,0,0,57
17.58,400,0.5,6.79,80,150,7.028394004,12,4765,1837,1515,2718,1580,1580,4,5,1580,100,136,180,1,0,0,47.5
18.08,400,0.5,6.79,80,165.6410256,7.028394004,12,4765,1837,1515,2718,1580,1580,4,5,1897.268636,100,136,180,1,0,0,47.5
17.58,600,0.5,10.24,80,150,9,12.9,4765,1837,1515,2718,1580,1580,4,5,1820,135,184,280,1,0,0,71.7
18.08,505,0.5,10.2,80,160,7.028394004,14.1,4705,1890,1680,2765,1630,1630,5,5,1950,135,184,280,1,0,0,71.7
19.78,505,0.5,10.2,80,160,7.028394004,14.1,4705,1890,1680,2765,1630,1630,5,5,1950,135,184,280,1,0,0,71.7
17.98,510,0.67,6.5,80,170,7.9,16.6,4750,1905,1675,2930,1605,1595,5,5,2120,200,272,360,1,0,0,78.54
19.88,510,0.67,6.5,80,170,7.9,16.6,4750,1905,1675,2930,1605,1595,5,5,1980,200,272,360,1,0,0,78.54
22.88,610,0.67,7.5,80,170,7.9,16.4,4750,1905,1675,2930,1605,1595,5,5,2070,200,272,360,0,1,0,89.97
23.98,510,0.67,6.5,80,170,7.9,16.6,4750,1905,1675,2930,1605,1595,5,5,1980,200,272,360,1,0,0,78.54
20.98,610,0.67,7.5,80,170,7.9,16.4,4750,1905,1675,2930,1605,1595,5,5,2070,200,272,360,0,1,0,89.55
22.98,550,0.67,7.5,80,170,4.5,18.5,4750,1905,1675,2930,1605,1595,5,5,2190,400,544,720,0,1,0,89.97
8.89,408,0.5,7,80,100,7.028394004,9.4,3200,1670,1550,2150,1450,1430,3,4,955,30,41,120,0,1,0,40.3
8.99,408,0.5,7,80,120,7.028394004,9.4,3200,1670,1550,2150,1450,1430,3,4,975,55,75,150,0,1,0,40.3
9.4,408,0.5,7,80,120,7.028394004,9.4,3200,1670,1550,2150,1450,1430,3,4,975,55,75,150,0,1,0,40.3
14.99,450,0.67,8.5,80,160,7.028394004,13.1,4261,1778,1568,2765,1593.613095,1594.388393,5,5,1760,125,170,310,0,1,0,57.3
17.72,450,0.67,8.5,80,160,7.028394004,13.1,4261,1778,1568,2765,1593.613095,1594.388393,5,5,1760,125,170,310,0,1,0,57.3
20.78,605,0.7,9.584863481,80,160,7.028394004,13.2,5040,1910,1569,2990,1630,1630,4,5,1900,140,190,320,0,1,0,82
12.28,431,0.609070465,9.584863481,79.92343032,130,7.028394004,13.5,5040,1910,1569,2990,1630,1630,4,5,1800,100,136,320,0,1,0,56
16.58,431,0.5,9.584863481,80,160,7.028394004,13.5,5040,1910,1569,2990,1630,1630,4,5,1810,140,190,320,1,0,0,54
88.8,430,1.55,8,80,230,5.4,19.8,4963,1966,1395,2900,1710,1694,4,4,2100,300,408,345,0,1,0,79.2
95.8,513,1.55,5,80,220,5.1,28.1,4974,2144,1409,2904,1718,1698,5,4,2291,350,476,500,0,1,0,93.4
115.8,461,1.55,8,80,250,4,24.6,4963,1966,1379,2900,1710,1694,4,4,2200,390,530,640,0,1,0,79.2
119.8,511,1.55,5,80,240,4.1,28.1,4974,2144,1409,2904,1718,1698,5,4,2300,420,571,650,0,1,0,93.4
138.2,538,1.55,5,80,250,3.7,28.5,4963,2144,1409,2900,1710,1672,4,4,2332,440,598,850,0,1,0,93.4
150.8,527,1.55,5,80,260,3.2,26,4963,1966,1381,2900,1702,1667,4,4,2341,500,680,850,0,1,0,93.4
152.8,523,1.55,5,80,250,3.3,28.7,4974,2144,1412,2904,1710,1672,5,4,2357,500,680,850,0,1,0,93.4
180.8,475,1.55,5,80,260,2.8,27,4963,1966,1378,2900,1690,1655,4,4,2333,560,761,1050,0,1,0,93.4
182.8,469,1.55,5,80,250,2.9,29.4,4974,2144,1409,2904,1710,1672,5,4,2358,560,761,1050,0,1,0,93.4
18.23,425,0.609070465,9.584863481,80,160,7.028394004,14.3,4592,1852,1629,2765,1593.613095,1594.388393,5,5,1945,125,170,310,0,1,0,55.7
19.53,425,0.609070465,9.584863481,80,160,7.028394004,14.3,4592,1852,1629,2765,1593.613095,1594.388393,5,5,1945,125,170,310,0,1,0,55.7
21.53,600,0.5,9.584863481,80,160,7.028394004,14.3,4592,1852,1629,2765,1593.613095,1594.388393,5,5,2130,150,204,310,0,1,0,84.8
23.28,600,0.5,9.584863481,80,160,7.028394004,14.3,4592,1852,1629,2765,1593.613095,1594.388393,5,5,2130,150,204,310,0,1,0,84.8
23.53,600,0.5,9.584863481,80,160,7.028394004,14.3,4592,1852,1629,2765,1593.613095,1594.388393,5,5,2130,150,204,310,0,1,0,84.8
27.13,554,0.5,9.584863481,80,160,7.028394004,15.6,4592,1852,1629,2765,1593.613095,1594.388393,5,5,2254,230,313,472,0,1,0,84.8
32.8,560,0.6,9.584863481,80,165.6410256,4,15.3,4790,1960,1499,2888,1685,1685,5,5,1897.268636,360,490,700,0,0,0,75
38.6,710,0.8,9.584863481,80,165.6410256,4,15.1,4790,1960,1499,2888,1685,1685,5,5,1897.268636,360,490,700,0,1,0,100
24.99,513,0.45,4.5,80,180,6.2,13.5,4730,1886,1621,2984,1593.613095,1594.388393,5,5,1897.268636,201,273,430,0,1,0,61.5
28.89,619,0.45,3.9,80,180,6.5,14.3,4730,1886,1621,2984,1593.613095,1594.388393,5,5,1897.268636,224,305,430,0,1,0,80.3
34.99,554,0.45,3.9,80,180,4.6,16.3,4730,1886,1613,2984,1593.613095,1594.388393,5,5,1897.268636,260,354,730,0,1,0,80.3
