数据编号,型号,经销商报价,纯电续航里程(km),充电时间(小时),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),电池类型,磷酸铁锂,三元锂,其它,电池容量(kWh)
185,AION V 2023款 Plus 80 领航智驾版 三元锂,23.68,600,快充0.5小时 慢充待查小时,0.5,,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,5,1960,165,224,350,三元锂电池,0,1,0,80
186,AION V 2023款 Plus 90 超长续航版 三元锂,24.96,702,快充0.5小时 慢充待查小时,0.5,,80,185,6.9,15.4,4650,1920,1720,2830,1630,1645,5,5,2050,200,272,350,三元锂电池,0,1,0,95.8
187,AION V 2022款 Plus 70 智领版 三元锂,18.76,500,快充0.5小时,0.5,,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,5,1905,165,224,350,三元锂电池,0,1,0,69.9
188,AION V 2022款 Plus 70 智享科技版 三元锂,19.76,500,快充0.5小时,0.5,,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,5,1905,165,224,350,三元锂电池,0,1,0,69.9
189,AION V 2021款 Plus 70 智领版 磷酸铁锂,18.76,500,快充0.5小时,0.5,,80,185,7.9,15.3,4650,1920,1720,2830,1630,1645,5,5,2040,165,224,350,磷酸铁锂电池,1,0,0,71.8
190,AION V 2021款 Plus 70 智享科技版 磷酸铁锂,19.76,500,快充0.5小时,0.5,,80,185,7.9,15.3,4650,1920,1720,2830,1630,1645,5,5,2040,165,224,350,磷酸铁锂电池,1,0,0,71.8
191,AION V 2021款 Plus 70 超级快充版 三元锂,20.96,500,快充0.17小时,0.17,,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,5,1980,165,224,350,三元锂电池,0,1,0,72.3
192,AION V 2021款 Plus 80 智领版 三元锂,20.26,600,快充0.5小时,0.5,,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,5,1960,165,224,350,三元锂电池,0,1,0,80
193,AION V 2021款 Plus 80 智享科技版 三元锂,21.46,600,快充0.5小时,0.5,,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,5,1960,165,224,350,三元锂电池,0,1,0,80
194,AION V 2021款 Plus 80 领航智驾版 三元锂,23.46,600,快充0.5小时,0.5,,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,5,1960,165,224,350,三元锂电池,0,1,0,80
195,AION V 2021款 Plus 90 超长续航版 三元锂,24.96,702,快充0.5小时,0.5,,80,185,6.9,15.4,4650,1920,1720,2830,1630,1645,5,5,2050,200,272,350,三元锂电池,0,1,0,95.8
196,宝马iX3 2022款 改款 领先型,31.99,500,快充0.75小时 慢充7.5小时,0.75,7.5,80,180,6.8,16.7,4746,1891,1683,2864,1616,1632,5,5,2190,210,286,400,三元锂电池,0,1,0,80
197,宝马iX3 2022款 领先型,31.99,500,快充0.75小时 慢充7.5小时,0.75,7.5,80,180,6.8,16.7,4746,1891,1683,2864,1616,1632,5,5,2190,210,286,400,三元锂电池,0,1,0,80
198,宝马iX3 2022款 改款 创领型,35.99,490,快充0.75小时 慢充7.5小时,0.75,7.5,80,180,6.8,16.9,4746,1891,1683,2864,1616,1632,5,5,2190,210,286,400,三元锂电池,0,1,0,80
199,宝马iX3 2022款 创领型,35.99,490,快充0.75小时 慢充7.5小时,0.75,7.5,80,180,6.8,16.9,4746,1891,1683,2864,1616,1632,5,5,2190,210,286,400,三元锂电池,0,1,0,80
200,零跑T03 2022款 皓玉版,8.65,403,快充0.6小时 慢充3.5小时,0.6,3.5,80,100,12,11.6,3620,1652,1592,2400,1410,1410,5,4,1190,80,109,158,磷酸铁锂电池,1,0,0,41
201,零跑T03 2022款 琥珀版,8.85,403,快充0.6小时 慢充3.5小时,0.6,3.5,80,100,12,11.6,3620,1652,1592,2400,1410,1410,5,4,1190,80,109,158,磷酸铁锂电池,1,0,0,41
202,零跑T03 2022款 耀金版,9.25,403,快充0.6小时 慢充3.5小时,0.6,3.5,80,100,12,11.6,3620,1652,1592,2400,1410,1410,5,4,1190,80,109,158,磷酸铁锂电池,1,0,0,41
203,零跑T03 2022款 星钻版,9.65,403,快充0.6小时 慢充3.5小时,0.6,3.5,80,100,12,11.6,3620,1652,1592,2400,1410,1410,5,4,1190,80,109,158,磷酸铁锂电池,1,0,0,41
204,红旗E-HS9 2022款 改款 460km 旗悦版 七座,50.98,460,快充0.8小时 慢充8.4小时,0.8,8.4,80,200,6.5,18.1,5209,2010,1731,3110,1708,1709,5,7,2512,320,435,600,三元锂电池,0,1,0,84
