数据编号,型号,经销商报价,纯电续航里程(km),充电时间(小时),快充时间,慢充时间,快充电量(%),最高车速(km/h),官方百公里加速时间(s),百公里耗电量(kWh/100km),长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),座位数(个),整备质量(kg),电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),电池类型,磷酸铁锂,三元锂,其它,电池容量(kWh)
104,欧拉好猫 2022款 莫兰迪版 400km标准续航 尊贵型 磷酸铁锂,14.7,401,快充0.5小时 慢充8小时,0.5,8,80,150,,13,4235,1825,1596,2650,1557,1577,5,5,1510,105,143,210,磷酸铁锂电池,1,0,0,47.8
105,欧拉好猫 2022款 莫兰迪版 400km标准续航 尊贵型 三元锂,14.7,401,快充0.5小时 慢充8小时,0.5,8,80,150,,13.1,4235,1825,1596,2650,1557,1577,5,5,1438,105,143,210,三元锂电池,0,1,0,45.99
106,欧拉好猫 2022款 莫兰迪版 500km长续航 豪华型 三元锂,15.7,501,快充0.5小时 慢充8小时,0.5,8,80,150,,13.2,4235,1825,1596,2650,1557,1577,5,5,1510,105,143,210,三元锂电池,0,1,0,59.1
107,欧拉好猫 2022款 莫兰迪版 500km长续航 豪华型 磷酸铁锂,15.7,501,快充0.5小时 慢充8小时,0.5,8,80,150,,13.9,4235,1825,1596,2650,1557,1577,5,5,1609,105,143,210,磷酸铁锂电池,1,0,0,57.71
108,欧拉好猫 2022款 莫兰迪版 500km长续航 尊贵型 三元锂,16.7,501,快充0.5小时 慢充8小时,0.5,8,80,150,,13.2,4235,1825,1596,2650,1557,1577,5,5,1510,105,143,210,三元锂电池,0,1,0,59.1
109,欧拉好猫 2022款 莫兰迪版 500km长续航 尊贵型 磷酸铁锂,16.7,501,快充0.5小时 慢充8小时,0.5,8,80,150,,13.9,4235,1825,1596,2650,1557,1577,5,5,1609,105,143,210,磷酸铁锂电池,1,0,0,57.71
110,宝马i3 2022款 eDrive 35 L,27.89,526,快充0.58小时 慢充6.75小时,0.58,6.75,80,180,6.2,14.3,4872,1846,1481,2966,,,4,5,2029,210,286,400,三元锂电池,0,1,0,70
111,秦PLUS EV 2021款 400KM 豪华型,13.88,400,快充0.5小时 慢充6.79小时,0.5,6.79,80,130,,12,4765,1837,1515,2718,1580,1580,4,5,1580,100,136,180,磷酸铁锂电池,1,0,0,47.5
112,秦PLUS EV 2021款 500KM 豪华型,14.88,500,快充0.5小时 慢充8.14小时,0.5,8.14,80,130,,12.3,4765,1837,1515,2718,1580,1580,4,5,1650,100,136,180,磷酸铁锂电池,1,0,0,57
113,秦PLUS EV 2021款 500KM 尊贵型,15.88,500,快充0.5小时 慢充8.14小时,0.5,8.14,80,130,,12.3,4765,1837,1515,2718,1580,1580,4,5,1650,100,136,180,磷酸铁锂电池,1,0,0,57
114,秦PLUS EV 2021款 400KM 出行版,17.58,400,快充0.5小时 慢充6.79小时,0.5,6.79,80,150,,12,4765,1837,1515,2718,1580,1580,4,5,1580,100,136,180,磷酸铁锂电池,1,0,0,47.5
115,秦PLUS EV 2021款 400KM 领畅版,18.08,400,快充0.5小时 慢充6.79小时,0.5,6.79,80,,,12,4765,1837,1515,2718,1580,1580,4,5,,100,136,180,磷酸铁锂电池,1,0,0,47.5
116,秦PLUS EV 2021款 600KM 旗舰型,17.58,600,快充0.5小时 慢充10.24小时,0.5,10.24,80,150,9,12.9,4765,1837,1515,2718,1580,1580,4,5,1820,135,184,280,磷酸铁锂电池,1,0,0,71.7
117,宋PLUS EV 2021款 尊贵型,18.08,505,快充0.5小时 慢充10.2小时,0.5,10.2,80,160,,14.1,4705,1890,1680,2765,1630,1630,5,5,1950,135,184,280,磷酸铁锂电池,1,0,0,71.7
118,宋PLUS EV 2021款 旗舰型,19.78,505,快充0.5小时 慢充10.2小时,0.5,10.2,80,160,,14.1,4705,1890,1680,2765,1630,1630,5,5,1950,135,184,280,磷酸铁锂电池,1,0,0,71.7
119,零跑C11 2022款 豪华版 磷酸铁锂电池,17.98,510,快充0.67小时 慢充6.5小时,0.67,6.5,80,170,7.9,16.6,4750,1905,1675,2930,1605,1595,5,5,2120,200,272,360,磷酸铁锂电池,1,0,0,78.54
120,零跑C11 2022款 行政版510,19.88,510,快充0.67小时 慢充6.5小时,0.67,6.5,80,170,7.9,16.6,4750,1905,1675,2930,1605,1595,5,5,1980,200,272,360,磷酸铁锂电池,1,0,0,78.54
121,零跑C11 2022款 行政版610,22.88,610,快充0.67小时 慢充7.5小时,0.67,7.5,80,170,7.9,16.4,4750,1905,1675,2930,1605,1595,5,5,2070,200,272,360,三元锂电池,0,1,0,89.97
122,零跑C11 2022款 智行版510,23.98,510,快充0.67小时 慢充6.5小时,0.67,6.5,80,170,7.9,16.6,4750,1905,1675,2930,1605,1595,5,5,1980,200,272,360,磷酸铁锂电池,1,0,0,78.54
123,零跑C11 2021款 尊享版,20.98,610,快充0.67小时 慢充7.5小时,0.67,7.5,80,170,7.9,16.4,4750,1905,1675,2930,1605,1595,5,5,2070,200,272,360,三元锂电池,0,1,0,89.55
124,零跑C11 2021款 性能版,22.98,550,快充0.67小时 慢充7.5小时,0.67,7.5,80,170,4.5,18.5,4750,1905,1675,2930,1605,1595,5,5,2190,400,544,720,三元锂电池,0,1,0,89.97
125,小蚂蚁 2022款 甜粉款 半糖版 三元锂 40.3kWh 30kW 408km,8.89,408,快充0.5小时 慢充7小时,0.5,7,80,100,,9.4,3200,1670,1550,2150,1450,1430,3,4,955,30,41,120,三元锂电池,0,1,0,40.3
126,小蚂蚁 2022款 甜粉款 半糖版 三元锂 40.3kWh 55kW 408km,8.99,408,快充0.5小时 慢充7小时,0.5,7,80,120,,9.4,3200,1670,1550,2150,1450,1430,3,4,975,55,75,150,三元锂电池,0,1,0,40.3
127,小蚂蚁 2022款 甜粉款 全糖版 三元锂 40.3kWh 55kW 408km,9.4,408,快充0.5小时 慢充7小时,0.5,7,80,120,,9.4,3200,1670,1550,2150,1450,1430,3,4,975,55,75,150,三元锂电池,0,1,0,40.3
128,大众ID.3 2022款 纯净智享版,14.99,450,快充0.67小时 慢充8.5小时,0.67,8.5,80,160,,13.1,4261,1778,1568,2765,,,5,5,1760,125,170,310,三元锂电池,0,1,0,57.3
129,大众ID.3 2022款 极智版,17.72,450,快充0.67小时 慢充8.5小时,0.67,8.5,80,160,,13.1,4261,1778,1568,2765,,,5,5,1760,125,170,310,三元锂电池,0,1,0,57.3
130,红旗E-QM5 2023款 PLUS版,20.78,605,快充0.7小时,0.7,,80,160,,13.2,5040,1910,1569,2990,1630,1630,4,5,1900,140,190,320,三元锂电池,0,1,0,82
131,红旗E-QM5 2022款 换电 431km乐享版 5座,12.28,431,,,,,130,,13.5,5040,1910,1569,2990,1630,1630,4,5,1800,100,136,320,三元锂电池,0,1,0,56
132,红旗E-QM5 2022款 充电 431km乐享版 5座,16.58,431,快充0.5小时,0.5,,80,160,,13.5,5040,1910,1569,2990,1630,1630,4,5,1810,140,190,320,磷酸铁锂电池,1,0,0,54
133,Taycan 2022款 改款 Taycan,88.8,430,快充1.55小时 慢充8小时,1.55,8,80,230,5.4,19.8,4963,1966,1395,2900,1710,1694,4,4,2100,300,408,345,三元锂电池,0,1,0,79.2
134,Taycan 2022款 Taycan 4 Cross Turismo,95.8,513,快充1.55小时 慢充5小时,1.55,5,80,220,5.1,28.1,4974,2144,1409,2904,1718,1698,5,4,2291,350,476,500,三元锂电池,0,1,0,93.4
135,Taycan 2022款 改款 Taycan 4S,115.8,461,快充1.55小时 慢充8小时,1.55,8,80,250,4,24.6,4963,1966,1379,2900,1710,1694,4,4,2200,390,530,640,三元锂电池,0,1,0,79.2
136,Taycan 2022款 Taycan 4S Cross Turismo,119.8,511,快充1.55小时 慢充5小时,1.55,5,80,240,4.1,28.1,4974,2144,1409,2904,1718,1698,5,4,2300,420,571,650,三元锂电池,0,1,0,93.4
137,Taycan 2022款 Taycan GTS,138.2,538,快充1.55小时 慢充5小时,1.55,5,80,250,3.7,28.5,4963,2144,1409,2900,1710,1672,4,4,2332,440,598,850,三元锂电池,0,1,0,93.4
138,Taycan 2022款 改款 Taycan Turbo,150.8,527,快充1.55小时 慢充5小时,1.55,5,80,260,3.2,26,4963,1966,1381,2900,1702,1667,4,4,2341,500,680,850,三元锂电池,0,1,0,93.4
139,Taycan 2022款 Taycan Turbo Cross Turismo,152.8,523,快充1.55小时 慢充5小时,1.55,5,80,250,3.3,28.7,4974,2144,1412,2904,1710,1672,5,4,2357,500,680,850,三元锂电池,0,1,0,93.4
140,Taycan 2022款 改款 Taycan Turbo S,180.8,475,快充1.55小时 慢充5小时,1.55,5,80,260,2.8,27,4963,1966,1378,2900,1690,1655,4,4,2333,560,761,1050,三元锂电池,0,1,0,93.4
141,Taycan 2022款 Taycan Turbo S Cross Turismo,182.8,469,快充1.55小时 慢充5小时,1.55,5,80,250,2.9,29.4,4974,2144,1409,2904,1710,1672,5,4,2358,560,761,1050,三元锂电池,0,1,0,93.4
142,ID.4 CROZZ 2022款 纯享限量版,18.23,425,,,,80,160,,14.3,4592,1852,1629,2765,,,5,5,1945,125,170,310,三元锂电池,0,1,0,55.7
143,ID.4 CROZZ 2022款 标准续航PURE版,19.53,425,,,,80,160,,14.3,4592,1852,1629,2765,,,5,5,1945,125,170,310,三元锂电池,0,1,0,55.7
144,ID.4 CROZZ 2022款 长续航PURE+,21.53,600,快充0.5小时,0.5,,80,160,,14.3,4592,1852,1629,2765,,,5,5,2130,150,204,310,三元锂电池,0,1,0,84.8
145,ID.4 CROZZ 2022款 长续航Lite PRO版,23.28,600,快充0.5小时,0.5,,80,160,,14.3,4592,1852,1629,2765,,,5,5,2130,150,204,310,三元锂电池,0,1,0,84.8
146,ID.4 CROZZ 2022款 长续航PRO版 ,23.53,600,快充0.5小时,0.5,,80,160,,14.3,4592,1852,1629,2765,,,5,5,2130,150,204,310,三元锂电池,0,1,0,84.8
147,ID.4 CROZZ 2022款 高性能PRIME四驱版,27.13,554,快充0.5小时,0.5,,80,160,,15.6,4592,1852,1629,2765,,,5,5,2254,230,313,472,三元锂电池,0,1,0,84.8
148,蔚来ET5 2022款 75kWh,32.8,560,快充0.6小时,0.6,,80,,4,15.3,4790,1960,1499,2888,1685,1685,5,5,,360,490,700,磷酸铁锂电池+三元锂电池,0,0,0,75
149,蔚来ET5 2022款 100kWh,38.6,710,快充0.8小时,0.8,,80,,4,15.1,4790,1960,1499,2888,1685,1685,5,5,,360,490,700,三元锂电池,0,1,0,100
150,福特电马 2021款 跃世后驱版,24.99,513,快充0.45小时 慢充4.5小时,0.45,4.5,80,180,6.2,13.5,4730,1886,1621,2984,,,5,5,,201,273,430,三元锂电池,0,1,0,61.5
151,福特电马 2021款 无疆后驱豪华版,28.89,619,快充0.45小时 慢充3.9小时,0.45,3.9,80,180,6.5,14.3,4730,1886,1621,2984,,,5,5,,224,305,430,三元锂电池,0,1,0,80.3
152,福特电马 2021款 追风全驱豪华版,34.99,554,快充0.45小时 慢充3.9小时,0.45,3.9,80,180,4.6,16.3,4730,1886,1613,2984,,,5,5,,260,354,730,三元锂电池,0,1,0,80.3
153,福特电马 2021款 GT,36.99,492,快充0.45小时 慢充3.9小时,0.45,3.9,80,200,3.65,17.9,4730,1886,1613,2984,,,5,5,1954,359,488,860,三元锂电池,0,1,0,80.3
154,LYRIQ锐歌 2022款 后驱长续航豪华版,43.97,653,快充0.67小时 慢充15.5小时,0.67,15.5,80,190,6.35,15.6,5003,1977,1637,3094,1676,1677,5,5,2535,255,347,440,三元锂电池,0,1,0,95.7
155,LYRIQ锐歌 2022款 后驱长续航尊贵版,45.97,653,快充0.67小时 慢充15.5小时,0.67,15.5,80,190,6.35,15.6,5003,1977,1637,3094,1676,1677,5,5,2535,255,347,440,三元锂电池,0,1,0,95.7
156,LYRIQ锐歌 2022款 四驱高性能尊贵版,47.97,600,快充0.67小时 慢充15.5小时,0.67,15.5,80,210,4.9,16.9,5003,1977,1637,3094,1676,1677,5,5,2631,375,510,710,三元锂电池,0,1,0,95.7
157,哪吒U 2022款 Ⅱ 400 Lite,12.98,401,快充0.5小时 慢充7小时,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1589,120,163,210,锂离子电池,0,0,0,54.34
158,哪吒U 2022款 Ⅱ 400,13.68,401,快充0.5小时 慢充7小时,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1675,120,163,210,锂离子电池,0,0,0,54.34
159,哪吒U 2022款 智400 三元锂,12.38,400,快充0.5小时 慢充7小时,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1589,120,163,210,三元锂电池,0,1,0,54.34
160,哪吒U 2022款 Ⅱ 500,14.78,501,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1635,120,163,210,锂离子电池,0,0,0,70.41
161,哪吒U 2022款 智400 磷酸铁锂,12.38,400,快充0.5小时 慢充7小时,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1589,120,163,210,磷酸铁锂电池,1,0,0,55.8
162,哪吒U 2022款 智400 Pro 三元锂,12.78,400,快充0.5小时 慢充7小时,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1589,120,163,210,三元锂电池,0,1,0,54.34
163,哪吒U 2022款 Ⅱ 610,15.98,610,快充0.5小时 慢充10.5小时,0.5,10.5,80,155,7,14.5,4549,1860,1628,2770,1580,1580,5,5,1779,170,231,310,锂离子电池,0,0,0,81.57
164,哪吒U 2022款 智400 Pro 磷酸铁锂,12.78,400,快充0.5小时 慢充7小时,0.5,7,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1589,120,163,210,磷酸铁锂电池,1,0,0,55.8
165,哪吒U 2022款 智500 三元锂,14.48,500,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1635,120,163,210,三元锂电池,0,1,0,66.23
166,哪吒U 2022款 智500 磷酸铁锂,14.48,500,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1635,120,163,210,磷酸铁锂电池,1,0,0,68.2
167,哪吒U 2022款 智500 Pro 三元锂,15.58,500,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1635,120,163,210,三元锂电池,0,1,0,66.23
168,哪吒U 2022款 智500 Pro 磷酸铁锂,15.58,500,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,9.5,14.5,4549,1860,1628,2770,1580,1580,5,5,1635,120,163,210,磷酸铁锂电池,1,0,0,68.2
169,哪吒U 2022款 智610 三元锂,15.98,610,快充0.5小时 慢充10.5小时,0.5,10.5,80,155,7,14.5,4549,1860,1628,2770,1580,1580,5,5,1779,150,204,310,三元锂电池,0,1,0,81.57
170,哪吒U 2022款 智610 Pro 三元锂,18.58,610,快充0.5小时 慢充10.5小时,0.5,10.5,80,155,7,14.5,4549,1860,1628,2770,1580,1580,5,5,1779,170,231,310,三元锂电池,0,1,0,79.63
171,哪吒U 2021款 改款 Pro 400 行业定制版,14.28,400,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,9.5,13.2,4530,1860,1628,2770,1580,1580,5,5,1675,120,163,210,三元锂电池,0,1,0,56.03
172,哪吒U 2021款 改款 Pro 400 尊享驾驭版,16.48,400,快充0.5小时 慢充8.5小时,0.5,8.5,80,150,9.5,13.2,4530,1860,1628,2770,1580,1580,5,5,1675,120,163,210,三元锂电池,0,1,0,54.34
173,哪吒U 2021款  Pro 500 行业定制版,17.58,500,快充0.5小时 慢充10小时,0.5,10,80,150,9.5,13.5,4530,1860,1628,2770,1580,1580,5,5,1635,120,163,210,三元锂电池,0,1,0,66.23
174,哪吒U 2021款 Pro 610 行业定制版,19.98,610,快充0.5小时 慢充13小时,0.5,13,80,155,7,14.5,4530,1860,1628,2770,1580,1580,5,5,1738,150,204,310,三元锂电池,0,1,0,81.57
175,AION V 2023款 Plus 70 智领版 磷酸铁锂,18.98,500,快充0.5小时 慢充待查小时,0.5,,80,185,7.9,15.3,4650,1920,1720,2830,1630,1645,5,5,2040,165,224,350,磷酸铁锂电池,1,0,0,71.8
176,AION V 2023款 Plus 70 智领版 三元锂,18.98,500,快充0.5小时 慢充待查小时,0.5,,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,5,1905,165,224,350,三元锂电池,0,1,0,69.9
177,AION V 2023款 Plus 70 智享科技版 磷酸铁锂,19.98,500,快充0.5小时 慢充待查小时,0.5,,80,185,7.9,15.3,4650,1920,1720,2830,1630,1645,5,5,2040,165,224,350,磷酸铁锂电池,1,0,0,71.8
178,AION V 2023款 Plus 70 智享科技版 三元锂,19.98,500,快充0.5小时 慢充待查小时,0.5,,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,5,1905,165,224,350,三元锂电池,0,1,0,69.9
179,AION V 2023款 Plus 70 智享七座版 三元锂,20.68,500,快充0.5小时 慢充待查小时,0.5,,80,185,7.9,14.9,4650,1920,1720,2830,1630,1645,5,7,1905,165,224,350,三元锂电池,0,1,0,69.9
180,AION V 2023款 Plus 70 超级快充版 三元锂,20.96,500,快充0.17小时 慢充待查小时,0.17,,80,185,7.9,15.1,4650,1920,1720,2830,1630,1645,5,5,2055,165,224,350,三元锂电池,0,1,0,72.1
181,AION V 2023款 Plus 70 极速快充版 三元锂,26.98,500,快充0.17小时,0.17,,80,185,7.9,,4650,1920,1720,2830,1630,1645,5,5,,165,224,350,三元锂电池,0,1,0,71.8
182,AION V 2023款 Plus 80 智领版 三元锂,20.48,600,快充0.5小时 慢充待查小时,0.5,,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,5,1960,165,224,350,三元锂电池,0,1,0,80
183,AION V 2023款 Plus 80 智享科技版 三元锂,21.68,600,快充0.5小时 慢充待查小时,0.5,,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,5,1960,165,224,350,三元锂电池,0,1,0,80
184,AION V 2023款 Plus 80 智享七座版 三元锂,22.38,600,快充0.5小时 慢充待查小时,0.5,,80,185,7.6,14.8,4650,1920,1720,2830,1630,1645,5,7,1960,165,224,350,三元锂电池,0,1,0,80
